Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	RHA	AccumulativeHeading(Y)	Speed	RSpeed	Dynamic
3.06398	58.7976	129	0	1	3	3	1	2	2.80887	-0.18037	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
3.0832	52.029	130	0	1	3	3	1	2	2.80887	-0.18037	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
3.09996	59.6852	131	0	1	3	3	1	2	2.80887	-0.18037	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
3.11698	58.7402	132	0	1	3	3	1	2	2.80887	-0.18037	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
3.13689	50.2419	133	0	1	3	3	1	2	2.80887	-0.18037	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
3.154	58.4263	134	0	1	3	3	1	2	2.80887	-0.18037	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
3.16997	62.6456	135	0	1	3	3	1	2	2.80887	-0.18037	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
3.186	62.3544	136	0	1	3	3	1	2	2.80887	-0.18037	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
3.20519	52.124	137	0	1	3	3	1	2	2.80887	-0.18037	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
3.22195	59.6433	138	0	1	3	3	1	2	2.80887	-0.18037	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
3.23794	62.5545	139	0	1	3	3	1	2	2.80887	-0.18037	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
3.25395	62.4649	140	0	1	3	3	1	2	2.80887	-0.18037	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
3.27094	58.8613	141	0	1	3	3	1	2	2.80887	-0.18037	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
3.28697	62.3731	142	0	1	3	3	1	2	2.80887	-0.18037	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	
